"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"View order history and verify order details","12775","ATC_013_Verify_order_history","Surefire suite","2026-06-15","passed","2026-06-15","org.tests.qa.OrderTest","Surefire test","org.tests.qa.OrderTest","ATC_013_Verify_order_history"
"Verify order page navigation and order visibility","3787","ATC_014_Verify_order_page_navigation","Surefire suite","2026-06-15","passed","2026-06-15","org.tests.qa.OrderTest","Surefire test","org.tests.qa.OrderTest","ATC_014_Verify_order_page_navigation"
