"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify product details page opens correctly when the product is fetched from the database","3270","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","2736","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","3095","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","2442","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","2573","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","2658","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
"Verify product details page opens correctly when the product is fetched from the database","3819","ATC_018_Verify_product_details_page","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.ProductDetailsTest","Surefire test","org.tests.qa.ProductDetailsTest","ATC_018_Verify_product_details_page"
