"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user registration with valid data using PostgreSQL","3773","ATC_001_Verify_user_registration_with_valid_data","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.RegisterTest","Surefire test","org.tests.qa.RegisterTest","ATC_001_Verify_user_registration_with_valid_data"
"Verify form validation on registration mandatory fields are empty","1031","ATC_015_Verify_user_registration_with_empty_fields","Surefire suite","2026-06-13","passed","2026-06-13","org.tests.qa.RegisterTest","Surefire test","org.tests.qa.RegisterTest","ATC_015_Verify_user_registration_with_empty_fields"
